undetermined read_count	1492309
mapped read_count	13422618
overall read_count	14914927.0

undetermined yield	450677318
mapped yield	4053630636
overall yield	4504307954

undetermined_proportion	0.1001
mapped_proportion	0.8999

sample_name	number_of_reads	yield	fraction_of_all_reads
KGKY-RWB117-FMF-2023-MSMT-1	9501	2869302	0.0006
KGKY-RWB020-PRS-2023-MSMT-1	9296	2807392	0.0006
KGKY-RWB-292-PPA-2023-MSMT-1	9560	2887120	0.0006
KGKY-RWB-285-AHN-2023-MSMT-1	9428	2847256	0.0006
KGKY-RWB-087-AAF-2023-MSMT-1	8380	2530760	0.0006
KGKY-RUG-095-JIP-2023-MSMT-1	9313	2812526	0.0006
KGKY-RUG-092-JMN-2023-MSMT-1	9059	2735818	0.0006
KGKY-RUG-088-ETJ-2023-MSMT-1	8905	2689310	0.0006
KGKY-RUG-061-BDL-2023-MSMT-1	9298	2807996	0.0006
KGKA-BKG-083-LES-2023-MSMT-1	8599	2596898	0.0006
KGBR-BUT252-NMB-2023-MSMT-1	9219	2784138	0.0006
KGBR-BUT200-AAP-2023-MSMT-1	8935	2698370	0.0006
KGBR-BUT029-SAS-2023-MSMT-1	8951	2703202	0.0006
DD2-2023-MSMT-4	9023	2724946	0.0006
3D7-2023-MSMT-4	9613	2903126	0.0006
3D7-2023-MSMT-2	8953	2703806	0.0006
3D7-2023-MSMT-1	9032	2727664	0.0006
NTC-2023-MSMT-6	6760	2041520	0.0005
KGNG-CVU039-VJG-2023-MSMT-1	8087	2442274	0.0005
KGKY-RWB-218-DDT-2023-MSMT-1	6787	2049674	0.0005
KGKY-RUG-101-NSB-2023-MSMT-1	7699	2325098	0.0005
KGKY-RUG-097-AJC-2023-MSMT-1	7905	2387310	0.0005
KGKA-BKG217-MJP-2023-MSMT-1	7123	2151146	0.0005
KGKA-BKG183-NYM-2023-MSMT-1	8090	2443180	0.0005
KGKA-BKG-045-JJJ-2023-MSMT-1	7877	2378854	0.0005
KGKA-BKG-028-PSM-2023-MSMT-1	7614	2299428	0.0005
KGBR-BUT313-NNK-2023-MSMT-1	8046	2429892	0.0005
KGBR-BUT269-JAG-2023-MSMT-1	7528	2273456	0.0005
KGBR-BUT217-SKO-2023-MSMT-1	7234	2184668	0.0005
KGBR-BUT089-RKJ-2023-MSMT-1	7636	2306072	0.0005
KGBR-BUT035-EKG-2023-MSMT-1	7294	2202788	0.0005
DD2-2023-MSMT-12	7761	2343822	0.0005
3D7-2023-MSMT-3	7663	2314226	0.0005
NTC-2023-MSMT-5	5302	1601204	0.0004
KGNG-CVU151-RLR-2023-MSMT-1	5889	1778478	0.0004
KGNG-CVU126-MDP-2023-MSMT-1	5831	1760962	0.0004
KGNG-CVU124-MAD-2023-MSMT-1	6281	1896862	0.0004
KGNG-CVU098-ONB-2023-MSMT-1	5411	1634122	0.0004
KGNG-CVU091-ILL-2023-MSMT-1	5283	1595466	0.0004
KGNG-CVU090-JJJ-2023-MSMT-1	5278	1593956	0.0004
KGNG-CVU048-BOV-2023-MSMT-1	6105	1843710	0.0004
KGNG-CVU046-NJG-2023-MSMT-1	5584	1686368	0.0004
KGNG-CVU038-HYE-2023-MSMT-1	5229	1579158	0.0004
KGNG-CVU-102-ATJ-2023-MSMT-1	6240	1884480	0.0004
KGKY-RWB105-EEC-2023-MSMT-1	5801	1751902	0.0004
KGKY-RWB041-YFJ-2023-MSMT-1	6626	2001052	0.0004
KGKY-RWB036-ASG-2023-MSMT-1	5554	1677308	0.0004
KGKY-RWB029-ADT-2023-MSMT-1	5226	1578252	0.0004
KGKY-RWB-290-BSB-2023-MSMT-1	6053	1828006	0.0004
KGKY-RWB-217-FAD-2023-MSMT-1	6579	1986858	0.0004
